id,batting_average,batting_strike_rate,batting_100s_normalized,batting_50s_normalized,batting_6s_normalized,batting_4s_normalized,batting_highest_score,batting_not_outs_normalized,bowling_average,bowling_strike_rate,bowling_economy,bowling_maidens_normalized,identifier
402247,26.0,162.5,0.0,0.0,0.5,0.5,0.0,0.75,21.22,18.2,6.96,0.0,f96933f0
1156495,1.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,11.68,11.7,5.96,0.0,dba54d8e
547766,3.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,20.88,17.3,7.23,0.0,dadbdb68
1156724,19.5,125.8,0.0,0.0,0.5833333333333334,0.25,27.0,0.5,40.22,23.6,10.19,0.0,4e6ff836
37698,7.0,93.33,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,fdac5295
55944,10.33,134.78,0.0,0.0,0.3333333333333333,1.0,18.0,0.0,0.0,0.0,0.0,0.0,6752c57b
1325909,2.33,41.17,0.0,0.0,0.0,0.0,6.0,0.0,4.6,4.8,5.75,0.0,10ae134c
1314205,4.0,33.33,0.0,0.0,0.0,0.0,3.0,0.5,190.0,114.0,10.0,0.0,e57d25fa
1267508,16.25,77.38,0.0,0.0,0.0625,0.75,0.0,0.5,48.66,26.6,10.95,0.0,a4a53adf
1301599,16.0,66.66,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,ac6be7ed
46248,21.18,142.28,0.0,0.0,1.0263157894736843,0.7631578947368421,43.0,0.2894736842105263,33.23,24.8,8.01,0.0186046511627906,c3d35165
973799,22.1,126.88,0.0,0.0384615384615384,0.6923076923076923,0.9615384615384616,56.0,0.2692307692307692,26.53,19.1,8.32,0.010482180293501,f092b4c7
44014,6.0,66.66,0.0,0.0,0.0,0.5,9.0,0.0,0.0,0.0,13.0,0.0,d5bbb6a2
796265,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,24.0,7.0,0.0,324edd0c
25087,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,18.0,20.0,5.4,0.0,e662b18f
774223,15.0,88.23,0.0,0.0,0.125,0.375,11.0,0.625,29.26,20.8,8.42,0.0,1ee08e9a
47015,0.0,85.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42537f07
772471,15.5,124.0,0.0,0.0,1.5,0.0,31.0,0.0,20.0,12.0,10.0,0.0714285714285714,5ec41cd7
1156455,4.75,70.37,0.0,0.0,0.0,0.25,11.0,0.0,18.3,16.8,6.53,0.1071428571428571,d76ab352
307756,25.73,113.93,0.0,0.1025641025641025,0.358974358974359,2.230769230769231,0.0,0.1282051282051282,0.0,0.0,8.5,0.0,b80dd12c
308235,3.0,85.71,0.0,0.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0087a35d
1188638,3.0,37.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,909d9fac
1263727,9.0,145.16,0.0,0.0,0.125,0.625,0.0,0.375,21.36,14.8,8.65,0.03690036900369,c1f05d1d
1136106,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.57,0.0,526e006d
1286509,2.14,34.88,0.0,0.0,0.0,0.1428571428571428,11.0,0.0,67.33,41.6,9.69,0.0,b7abb123
1280697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.0,6.25,0.0,8b46fc4f
647745,14.83,91.75,0.0,0.0,0.3333333333333333,1.1666666666666667,31.0,0.0,0.0,0.0,12.0,0.0,30a307d3
1089823,14.2,74.34,0.0,0.0,0.3,1.3,46.0,0.0,0.0,0.0,0.0,0.0,d7acab5d
520142,24.0,96.96,0.0,0.0,0.0555555555555555,1.3888888888888888,44.0,0.3333333333333333,0.0,0.0,0.0,0.0,c18cecbe
1155248,6.33,63.33,0.0,0.0,0.25,0.0,11.0,0.25,24.5,19.5,7.53,0.0,1eb2b096
44149,18.27,121.81,0.0,0.0,0.45,0.75,34.0,0.45,22.24,20.9,6.37,0.0077519379844961,7c503806
332978,4.0,72.72,0.0,0.0,0.25,0.25,7.0,0.0,21.14,18.1,6.99,0.0,6a685375
948595,42.25,120.71,0.0,0.4,0.4,3.6,62.0,0.2,0.0,0.0,8.57,0.0,ec5160d7
1155498,20.1,92.2,0.0,0.1,0.1,2.75,59.0,0.0,16.65,13.7,7.24,0.0,2dde3e62
526440,23.88,96.41,0.0,0.05,0.2,2.1,0.0,0.1,0.0,0.0,15.0,0.0,efcb778e
669855,19.0,190.0,0.0,0.0,0.5,1.0,0.0,0.5,26.5,20.1,7.89,0.0212765957446808,5574750c
308967,33.26,143.58,0.0109890109890109,0.1868131868131868,1.10989010989011,2.32967032967033,0.0,0.2087912087912088,0.0,0.0,0.0,0.0,99b75528
1151267,5.0,68.18,0.0,0.0,0.0,0.6666666666666666,16.0,0.0,6.9,10.1,4.09,0.1212121212121212,6d5983d4
